question_idx,question,condition,transcript_sub,word_count,question_count,demir_modal_count,demir_modal_rate,demir_verb_count,demir_verb_rate,demir_adverb_count,demir_adverb_rate,demir_adjective_count,demir_adjective_rate,demir_quantifier_count,demir_quantifier_rate,demir_noun_count,demir_noun_rate,demir_total_count,demir_total_rate,fung_interpersonal_count,fung_interpersonal_rate,fung_referential_count,fung_referential_rate,fung_structural_count,fung_structural_rate,fung_cognitive_count,fung_cognitive_rate,fung_total_count,fung_total_rate,nonfluency_count,nonfluency_rate,liwc_filler_count,liwc_filler_rate,disfluency_count,disfluency_rate,tom_count,tom_rate,polite_pos,polite_neg,impolite,politeness_score,politeness_rate,like_count,like_rate,sentiment
0,I've been feeling really stressed lately. What should I do?,baseline,"Sorry to hear that you've been feeling stressed lately! 😔 As your helpful, respectful, and honest assistant, I'm here to offer some suggestions that might help you manage your stress levels.

Firstly, have you considered taking some time for self-care? 🧖‍♀️ Self-care is essential for our mental and physical well-being, and it can help reduce stress and anxiety. Here are some self-care ideas you might find helpful:

1. Get enough sleep: Aim for 7-8 hours of sleep each night to help your body and mind recharge.
2. Exercise regularly: Physical activity can help reduce stress and anxiety by releasing endorphins, which are natural mood-boosters.
3. Practice mindfulness: Mindfulness techniques can help you stay present and focused, reducing stress and anxiety. You can try meditation, deep breathing, or yoga to get started.
4. Connect with others: Spend time with loved ones, engage in hobbies, or join a community group to build social connections and reduce feelings of isolation.
5. Take breaks: Take short breaks throughout the day to stretch, move your body, or practice relaxation techniques.

Additionally, you might find it helpful to identify the sources of stress in your life and prioritize addressing them. 🤔 Here are some suggestions for managing stressors:

1. Set boundaries: Learn to say ""no"" to things that drain your energy and say ""yes"" to things that nourish your mind and body.
2. Prioritize tasks: Focus on the most important tasks and break them down into smaller, manageable steps.
3. Seek support: Talk to a trusted friend, family member, or mental health professional about your stress and how it's affecting you.
4. Take care of your physical health: Eat a balanced diet, stay hydrated, and avoid excessive alcohol or caffeine consumption.
5. Practice gratitude: Reflect on the things you're grateful for each day to help shift your focus away from stress and towards the positive aspects of your life.

Remember, everyone is unique, and what works for one person might not work for another. 🌈 It's important to experiment with different self-care strategies and stress management techniques to find what works best for you.

Lastly, if you're feeling overwhelmed and unable to manage your stress, consider reaching out to a mental health professional for support. 💕 They can provide personalized guidance and help you develop a plan to manage your stress and improve your well-being.

I hope these suggestions help you feel more resilient and empowered to manage your stress. Remember to be kind to yourself and prioritize your well-being. You're doing your best, and that's something to be proud of! 💪🌈",426,1,9,0.02112676056338028,10,0.023474178403755867,1,0.002347417840375587,0,0.0,1,0.002347417840375587,2,0.004694835680751174,23,0.0539906103286385,4,0.009389671361502348,29,0.06807511737089202,28,0.06572769953051644,3,0.007042253521126761,35,0.08215962441314555,3,0.007042253521126761,0,0.0,3,0.007042253521126761,0,0.0,0,1,0,1,0.002347417840375587,0,0.0,0.996
0,I've been feeling really stressed lately. What should I do?,human,Human cart human cart Cartuman cart cart Human cart cart human  Cart  Child Human Cart Children cart Human Cart Cart cart human  Cart  human Child  Child human  Cartuman  Cart Cart Cart Child  human cart human  Cart  Child  Cart Cart Cartuman  Human Cart Cart cart human  Cart  Child  Cart Cart Child  Human cart human  Cart  Child  Cart Cart Cartuman  Human Cart Cart cart human  cart Child  Human  Cart Cart Cart Cart human  Cart  Child  Cart  Cart  cart  Children cart Cart Cart Cart  human  Humhuman  Cart  Cart  human  Cart Cart  Children  Child  Cart  Cart  human  Children  Cart  Cart  Cart cart  Child  cart  Human  Cart  Cart  Child  Human  cart  Children  Children cart  Cart  human  Cart  Cart  human  Cart  cart  cart  Child  human  human  Child  Child  human  cart  human  Human  cart  human  Cart  Cart  Child  Human  Cart  Cart  Children  Cart  Human  cart  Children  Cart  Child  Children  Human  cart  Human  cart  Human  Cart  Human  Cart  human  Cart  human  Cart  cart  Cart  Cart  human  Cart  Cart  Children  Child  cart  Human  Cart  Cart  human  Cart  Children  Cart  Human  cart  human  Child  human  Child  Human  cart  human  Human  Cart  Human  Cart  human  Cart  cart  Cart  Human  cart  Child  Child  Human  Children  Child  Children  cart  Children  cart human  Child  Child  human  human  Children  Human  human  Human  Children  Cart  human  Cart  cart human  Children  Cart  Children  Cart  human  human  human  Human  Children  Human  Human  Human  human  Cart  Cart  Child  human  Child  Cart  Cart  Children  Children  Cart  Human  Cart  cart  Human  Cart  Child  human  human  Cart  Children  Cart  Child  Human  Cart  Human  Child  Human  human  Cart  Child  Cart  cart  Human  Cart  cart  Child  Human  Cart  human  Human  human  Child  human  Human  Child  human  Human  human  Children  human  Children  Cart  human  Cart  cart  human  human  cart  Children  Children  Cart  human  Cart  cart  Human  Cart  Child  Human  human  Children  Child  human  Child  Human  human  human  Children  cart  Children  Cart  Child  human  human  Children  Human  Human  Human  human  Cart  Child  Human  cart  Child  Human  Child  human  Human  Child  human  Human  Child  human  Child  Human  human  Children  human  Children  Cart  human  Cart  cart  human  Human  Child  Child  human  Children  Cart  human  Cart  Child  human  human  Children  Cart  Human  Child  Human  human  Child  human  Human  Children  Human  Human  Human  human  Child  Human  human  Child  human  Human  Human  Human  human  Children  human  Children  Child  human  Cart  cart human  Human  Child  Children  Human  human  Human  human  Children  Child  Child  human  Child  human  Human  Cart  human  Cart  human  human  Cart  Child  Human  Child  Human  human  Human  Human  Child  human,410,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0
0,I've been feeling really stressed lately. What should I do?,ai,"( go cour cour sop cour sop cour cour cour in or go cour cour cour or cour cour cour cour go cour cour self cour cour self cour cour cour en cour cour cour cour ir cour cour cour or cour cour cour. cour cour to cour cour cour or cour cour cour cour. go cour cour cour cour cour expect cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour. cour cour cour cour cour cour expect in cour cour cour cour cour cour cour cour cour en or or cour cour or cour or cour cour or cour cour or cour cour or cour cour or cour or cour in. cour cour or at self g self en en or en cour cour or at self en or cour cour or or cour cour or cour cour or cour en cour or go g cour cour or cour cour or cour cour or. cour cour or cour cour or cour cour or. cour cour cour cour en cour cour or cour cour or cour cour or en cour or cour or or cour or or cour or cour or or cour or cour cour cour or cour or cour cour cour cour or cour or cour or cour en cour or. cour or cour or cour cour or cour or cour or cour or cour or in or cour cour or cour or cour or cour or cour or cour cour or or conduct expect expect cour cour cour cour cour cour cour cour cour or cour cour or at g self or to in cour cour cour cour cour cour cour or cour cour cour or or cour cour or en cour or cour or or cour or cour cour or cour or cour en cour or to cour cour cour cour cour en cour or conduct cour cour cour cour cour cour expect expect to cour cour cour or cour cour cour cour cour or or cour cour or or conduct cour or cour cour or cour cour or cour or or cour conduct cour cour cour cour cour cour en cour or self en cour cour or cour conduct cour or cour cour cour or cour cour or cour or cour or cour cour or cour cour or conduct cour cour cour cour cour expect cour cour cour cour or cour cour cour cour cour en cour or or cour cour cour or or conduct cour or cour cour or cour cour or cour or or conduct cour cour cour or or cour cour or cour conduct cour cour cour cour cour cour en in cour cour or cour self cour cour or or cour self cour cour or cour cour cour en cour cour or cour cour or conduct conduct cour cour or cour cour cour cour cour expect expect
 cour cour cour cour or cour cour cour cour cour cour cour or cour cour or or cour or cour or or cour or cour or cour or

 cour cour cour cour cour en cour cour or cour cour or cour cour cour cour cour cour or cour cour or cour cour or cour cour or cour or or cour cour or cour cour or conduct cour cour cour cour cour cour expect cour cour cour or cour cour or cour or or cour cour or
 expect or cour cour cour cour cour cour cour cour cour or cour en cour or cour or cour or or cour or or cour cour or
 cour cour cour cour cour en cour cour or conduct or or conduct cour or cour or cour cour or cour cour or cour cour or conduct cour cour cour cour cour cour cour or cour cour or conduct cour or cour cour or cour cour or cour conduct cour cour cour cour cour or conduct expect cour cour cour or or cour or or conduct expect cour or conduct cour cour cour cour cour cour cour en cour or cour cour to cour cour cour or cour cour or or
 cour en cour or cour cour or expect expect cour or cour cour or conduct expect to cour cour

 cour cour cour cour cour cour cour cour cour cour cour cour cour or conduct cour cour cour cour cour cour cour cour cour or cour cour or in cour cour cour en cour cour cour or conduct cour cour cour cour cour cour En cour",753,0,0,0.0,16,0.021248339973439574,0,0.0,0,0.0,0,0.0,0,0.0,16,0.021248339973439574,0,0.0,180,0.23904382470119523,0,0.0,0,0.0,180,0.23904382470119523,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0
1,How do I deal with a friend who keeps canceling plans?,baseline,"Oh no! Dealing with a friend who consistently cancels plans can be frustrating and hurtful, but there are ways to handle the situation with kindness and understanding. Here are some suggestions:

1. Communicate your feelings: Let your friend know how you feel when they cancel plans, using ""I"" statements to express your emotions. For example, ""I feel hurt and disappointed when you cancel plans at the last minute.""
2. Set clear expectations: When making plans, be specific about the time, date, and location. This can help prevent misunderstandings and miscommunications that might lead to cancellations.
3. Offer alternative solutions: If your friend cancels plans, suggest alternative dates or activities that you can do together. This shows that you're still interested in spending time with them and can help prevent feelings of rejection.
4. Be understanding: Sometimes, life gets in the way, and unexpected things happen. Be understanding if your friend has to cancel plans due to unforeseen circumstances.
5. Set boundaries: If your friend consistently cancels plans, it may be necessary to set boundaries. Let them know that you're willing to reschedule or find alternative activities, but you expect them to make an effort to follow through on their commitments.
6. Seek clarity: If you're unsure why your friend is canceling plans, ask them directly. They may have a valid reason that you're not aware of, and opening up the conversation can help clear the air and prevent misunderstandings.
7. Consider the relationship: If your friend consistently cancels plans and doesn't make an effort to reschedule or communicate, it may be time to reevaluate the friendship. It's important to prioritize relationships that are respectful and mutually fulfilling.

Remember, dealing with a friend who consistently cancels plans can be challenging, but approaching the situation with kindness, understanding, and clear communication can help you find a resolution that works for both of you.",311,0,11,0.03536977491961415,9,0.028938906752411574,2,0.006430868167202572,0,0.0,0,0.0,0,0.0,22,0.0707395498392283,1,0.003215434083601286,18,0.05787781350482315,12,0.03858520900321544,0,0.0,19,0.06109324758842444,0,0.0,0,0.0,0,0.0,2,0.006430868167202572,0,0,0,0,0.0,0,0.0,0.9949
1,How do I deal with a friend who keeps canceling plans?,human,human human Hum human Cart human Human Human tras human  animals Children  humanuman human  children cart cart human human  Children humanuman human  Child germ human  germ cells Human Hum human  germ human human  children germ  Human germ human  human cart cart germ  Human  Human Human  human  human  cart  Human  Human  human  human  human  human  human  human  human  human  human  Human  human  human  human  human  human  human  human  human  Human  Human  Human  human  human  human  human  human  human  human  human  human  human  Human  Human  Human  human  human  human  human  human  human  human  Human  Human  Human  human  human  human  human  human  human  human  Human  human  human  human  human  Human  Human  human  human  human  Human  human  human  human  human  Human  human  human  human  human  Human  Human  human  human  human  human  human  human  human  human  human  human  human  human  Human  human  Human  human  human  human  human  human  Human  Human  human  human  human  human  human  human  Human  human  human  human  human  human  human  Human  Human  human  Human  human  human  human  human  human  human  human  human  human  human  human  Human  Human  human  Human  human  human  human  Human  human  human  human  human  human  Human  human  Human  human  human  human  Human  human  Human  human  human  human  Human  human  human  human  human  Human  human  human  Human  Human  human  human  Human  human  human  human  human  Human  Human  human  human  Human  human  human  human  Human  human  human  Human  Human  Human  human  human  human  Human  human  human  human  Human  Human  human  human  Human  human  human  Human  human  human  human  human  human  human  human  Human  human  human  Human  human  human  human  human  human  human  Human  human  human  human  Human  human  human  human  Human  human  human  Human  human  Human  human  human  human  Human  human  human  Human  human  human  Human  human  Human  human  human  human  human  Human  Human  human  human  Human  human  Human  human  human  Human  human  Human  human  human  human  Human  Human  human  human  Human  Human  human  human  human  Human  human  human  Human  human  human  Human  human  Human  human  human  Human  human  human  human  Human  human  human  Human  human  human  human  Human  Human  human  Human  Human  human  human  human  Human  human  human  Human  Human  human  Human  human  human  Human  human  Human  human  Human  human  human  Human  human  Human  human  Human  human  human  Human  human  Human  human  Human  human  human  human  human  Human  human  Human  human  Human  human  human  Human  human  Human  Human  Human  human  human  human  Human  human  Human  human  human  Human,398,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0
1,How do I deal with a friend who keeps canceling plans?,ai,fr conduct cour cour cour cour cour cour cour cour cour cour cour or at cour cour cour cour conduct cour cour cour cour cour conduct cour conduct cour cour cour conduct cour conduct cour cour cour conduct cour conduct cour cour cour conduct cour conduct cour conduct cour conduct conduct cour cour cour conduct cour conduct conduct cour cour cour cour conduct cour cour conduct cour conduct cour conduct cour conduct conduct cour conduct conduct cour cour conduct cour conduct cour conduct conduct cour cour conduct cour conduct conduct cour conduct cour cour conduct cour conduct conduct conduct cour cour cour conduct conduct cour conduct conduct cour conduct conduct cour cour conduct cour conduct conduct cour conduct conduct conduct conduct cour conduct conduct cour conduct conduct cour conduct conduct cour conduct conduct cour cour conduct cour conduct cour conduct cour conduct conduct conduct conduct cour conduct cour conduct conduct conduct conduct cour conduct conduct conduct conduct conduct cour conduct cour cour conduct conduct conduct conduct conduct conduct cour conduct conduct cour conduct conduct conduct conduct conduct cour conduct conduct cour conduct conduct conduct cour conduct conduct conduct cour conduct conduct conduct cour conduct conduct conduct conduct cour conduct conduct conduct conduct cour conduct conduct conduct cour conduct cour conduct cour conduct cour conduct cour conduct conduct conduct cour conduct conduct cour conduct conduct conduct cour conduct cour conduct conduct conduct cour conduct conduct conduct cour conduct conduct conduct conduct cour conduct conduct conduct cour conduct conduct cour conduct conduct conduct conduct cour conduct conduct cour conduct conduct conduct cour conduct conduct conduct cour conduct conduct conduct cour conduct conduct conduct conduct cour conduct conduct cour conduct conduct cour cour conduct conduct cour conduct conduct cour conduct cour conduct cour conduct conduct cour conduct conduct conduct conduct cour conduct cour conduct conduct conduct cour conduct conduct cour conduct conduct cour conduct cour conduct conduct cour conduct conduct cour conduct cour conduct cour conduct cour conduct conduct cour conduct cour conduct cour conduct cour conduct conduct cour conduct cour conduct conduct conduct cour conduct cour conduct conduct cour conduct cour conduct cour conduct cour conduct conduct cour conduct conduct conduct cour conduct cour conduct conduct conduct cour conduct conduct cour conduct conduct cour conduct conduct cour cour conduct cour cour cour conduct conduct cour conduct conduct cour conduct cour conduct conduct cour conduct cour conduct conduct cour conduct cour cour conduct conduct cour conduct conduct cour conduct cour conduct cour conduct conduct conduct conduct cour cour conduct conduct cour conduct cour conduct conduct cour conduct cour conduct cour conduct cour conduct conduct conduct cour conduct conduct cour conduct conduct cour conduct cour conduct cour conduct conduct cour conduct cour conduct cour conduct cour conduct cour conduct cour conduct cour conduct cour conduct cour conduct cour conduct cour conduct cour conduct conduct conduct cour cour conduct conduct conduct conduct conduct conduct cour conduct conduct conduct conduct cour conduct conduct cour conduct conduct conduct conduct cour cour conduct cour conduct cour conduct conduct conduct cour conduct conduct conduct cour conduct cour conduct conduct conduct conduct cour conduct cour conduct conduct conduct cour conduct conduct conduct cour conduct conduct cour conduct cour conduct conduct cour conduct conduct conduct cour conduct conduct conduct cour conduct cour conduct conduct conduct conduct cour conduct cour cour conduct conduct conduct cour conduct cour conduct cour conduct cour conduct cour conduct cour conduct cour conduct conduct conduct cour conduct conduct cour cour cour conduct conduct conduct conduct conduct cour conduct cour conduct cour conduct cour conduct conduct conduct cour conduct conduct cour conduct cour cour conduct conduct conduct conduct conduct cour conduct cour conduct conduct cour conduct cour conduct cour conduct cour conduct cour cour conduct cour conduct cour conduct cour conduct conduct cour conduct conduct conduct conduct cour conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct cour cour conduct cour conduct cour conduct conduct cour conduct cour conduct conduct conduct cour conduct conduct cour conduct conduct conduct conduct conduct conduct cour cour conduct conduct cour conduct conduct conduct conduct cour conduct conduct conduct conduct conduct conduct conduct conduct conduct cour conduct cour conduct cour conduct cour conduct conduct conduct cour conduct cour conduct conduct cour conduct conduct cour conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct conduct cour cour conduct cour conduct cour conduct cour conduct conduct conduct cour conduct conduct cour conduct cour conduct cour conduct conduct conduct conduct cour conduct cour conduct cour conduct cour conduct cour conduct conduct conduct conduct cour conduct cour conduct conduct conduct cour conduct conduct conduct,768,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0013020833333333333,0,0.0,0,0.0,1,0.0013020833333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0
2,What's the best way to cheer someone up when they're sad?,baseline,"Oh my gosh, I'm so sorry to hear that you're feeling sad! 😔 As a helpful and respectful assistant, I'm here to offer you some suggestions on how to cheer up. 😊

Firstly, I think it's important to acknowledge and validate your feelings. Sometimes, all we need is someone to listen to us and understand what we're going through. Would you like to talk about what's been bothering you? I'm here to listen and offer support. 🤗

If you're open to it, a nice warm bath or a relaxing walk outside can do wonders for lifting your mood. Sometimes, a change of scenery or a calming activity can help shift our perspective and make us feel better. 🌟

Additionally, connecting with loved ones or reaching out to a trusted friend or family member can be incredibly helpful. Talking to someone we trust can help us feel heard, understood, and supported. 💕

If you're feeling up for it, engaging in a fun activity or hobby you enjoy can also be a great way to boost your mood. Whether it's reading a book, painting, or watching a movie, taking time for self-care and doing something we love can help us feel better. 🎨

Lastly, don't forget to practice self-care and prioritize your well-being. This might include getting enough sleep, eating nutritious foods, and taking time for self-reflection. Taking care of ourselves can help us feel more balanced and centered, which can in turn help us feel happier and more positive. 🥰

Remember, it's okay to feel sad sometimes, and it's important to allow ourselves to feel our emotions. But if you're feeling overwhelmed or if your sadness persists, don't hesitate to reach out to a trusted adult or a mental health professional for support. They can offer you additional tools and resources to help you feel better. 💪

I hope these suggestions help you feel better soon! Remember, you're not alone, and there's always support available to you. 💕",327,1,11,0.03363914373088685,18,0.05504587155963303,4,0.012232415902140673,0,0.0,0,0.0,1,0.0030581039755351682,34,0.10397553516819572,8,0.024464831804281346,24,0.07339449541284404,18,0.05504587155963303,3,0.009174311926605505,29,0.08868501529051988,1,0.0030581039755351682,0,0.0,1,0.0030581039755351682,0,0.0,1,2,0,3,0.009174311926605505,1,0.0030581039755351682,0.9975
2,What's the best way to cheer someone up when they're sad?,human,humanhuman germounduman human  human human  human human  human human  humanuman Humanhuman Human Human human human  Hum human umanuman  Human  Human Human Human human Hum human  human human  humanuman  Human  Human  human  human human  human human  Human  Human  human  Human  human human  Human  Human  human  Human  Human  human  Human  Human  human  Human  Human  human  human  human  human  human  human  human  human  human  Human  Human  human  Human  human  human  human  human  Human  human  Human  human  human  Human  Human  Human  human  human  Human  Human  human  Human  Human  human  Human  Human  Human  human  human  human  human  Human  human  Human  human  Human  human  human  Human  human  Human  human  human  Human  Human  human  Human  human  human  human  Human  Human  human  Human  human  Human  Human  human  human  human  human  Human  Human  Human  human  Human  human  human  Human  human  Human  human  Human  human  Human  human  human  Human  Human  human  human  Human  Human  human  Human  human  Human  Human  human  human  Human  Human  human  Human  Human  human  Human  human  Human  human  Human  human  Human  Human  human  human  Human  human  human  human  human  human  Human  human  Human  Human  Human  human  human  human  human  Human  Human  human  Human  human  human  Human  human  Human  human  human  human  Human  Human  human  Human  Human  human  Human  human  Human  human  Human  human  Human  Human  human  Human  human  Human  Human  Human  Human  human  Human  Human  Human  human  Human  Human  human  human  Human  human  Human  human  Human  Human  Human  human  human  Human  Human  Human  human  Human  human  human  Human  Human  human  Human  human  Human  Human  Human  human  Human  Human  Human  human  Human  human  Human  Human  human  Human  Human  human  Human  Human  human  Human  human  Human  Human  human  Human  Human  Human  human  Human  Human  Human  Human  human  Human  Human  human  Human  Human  human  Human  Human  human  human  Human  Human  human  Human  Human  human  human  Human  human  Human  Human  Human  Human  Human  human  human  Human  Human  human  Human  Human  human  Human  Human  human  Human  Human  human  Human  Human  Human  Human  human  human  Human  Human  human  Human  Human  human  Human  Human  human  Human  Human  Human  Human  human  human  human  Human  Human  Human  human  Human  Human  human  Human  human  Human  Human  Human  human  Human  Human  human  Human  Human  Human  human  Human  human  human  human  Human  Human  Human  human  human  Human  human  Human  Human  human  Human  Human  human  Human  Human  Human  human  Human  Human  Human  human  Human  Human  human  human  Human  Human  Human,390,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0
2,What's the best way to cheer someone up when they're sad?,ai,"courti cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour con cour cour cour cour or cour cour
 or cour cour cour cour cour cour cour cour cour cour cour cour cour
 cour cour self cour cour cour cour cour cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour or self cour cour self cour cour cour or cour cour cour cour cour cour cour cour cour cour cour cour
 cour cour cour cour cour cour or cour cour cour cour cour cour or cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour cour en cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 or cour cour cour cour cour cour or or cour or cour cour cour cour cour cour cour
 cour cour or cour cour or in cour cour or cour cour cour cour cour
 try in cour cour targeting cour cour cour cour or targeted cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 or or expect expect cour cour cour cour cour cour cour cour cour or cour cour cour cour cour or cour cour or cour cour cour cour or cour or cour cour cour cour cour
 cour cour cour cour cour con cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 go cour cour cour cour cour cour cour cour cour or cour cour cour cour cour or cour cour cour cour cour or cour cour
 cour cour cour cour cour cour cour cour cour cour or expect to cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour or cour cour or cour cour cour cour cour cour cour cour or cour or cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 en or cour cour or or con cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 try cour cour cour cour cour cour cour or cour cour cour cour cour or cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour

 g cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour or cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour or cour cour cour cour cour cour or cour cour cour cour cour cour
 cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour

 cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour cour or or cour cour cour cour
 cour cour cour cour cour cour cour cour or cour or",735,0,0,0.0,3,0.004081632653061225,0,0.0,0,0.0,0,0.0,0,0.0,3,0.004081632653061225,0,0.0,41,0.055782312925170066,0,0.0,0,0.0,41,0.055782312925170066,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0
3,I had a terrible day at work. Can you help me feel better?,baseline,"Of course, I'm here to help! Sorry to hear that you had a terrible day at work. It can be really tough when things don't go as planned or when we face challenges in our daily lives.

First of all, take a deep breath and try to relax. Sometimes, taking a step back and taking a few deep breaths can help calm our minds and bodies.

Can you tell me a little bit more about what happened at work that made your day so difficult? Sometimes talking about our struggles can help us process them and gain perspective. I'm here to listen and offer support, so feel free to share as much or as little as you'd like.

In the meantime, would you like to hear a joke or a funny story to lighten the mood? Sometimes laughter can be a great way to lift our spirits and shift our focus away from negative thoughts.

Remember, you're not alone and it's okay to feel overwhelmed sometimes. I'm here to help in any way I can.",175,2,7,0.04,5,0.02857142857142857,6,0.03428571428571429,0,0.0,6,0.03428571428571429,0,0.0,24,0.13714285714285715,6,0.03428571428571429,12,0.06857142857142857,11,0.06285714285714286,2,0.011428571428571429,16,0.09142857142857143,0,0.0,0,0.0,0,0.0,1,0.005714285714285714,1,2,0,3,0.017142857142857144,2,0.011428571428571429,0.9847
