run,agent,topic,social,order
1,bot_1,cars,0,1
1,bot_2,nature,0,2
1,hum_2,friendship,1,3
1,hum_1,childhood_memories,1,4
1,hum_2,space,0,5
1,bot_1,hobbies,1,6
1,bot_2,conflict,1,7
1,hum_1,photography,0,8
2,hum_2,networks,1,1
2,hum_1,mentorship,1,2
2,bot_2,empathy,1,3
2,bot_1,role_models,1,4
2,bot_1,books,0,5
2,bot_2,exercise,0,6
2,hum_2,sports,0,7
2,hum_1,art,0,8
3,bot_1,music,0,1
3,hum_1,architecture,0,2
3,bot_2,cultural_celebrations,1,3
3,hum_2,trust,1,4
3,bot_2,movies,0,5
3,hum_2,cooking,0,6
3,bot_1,love,1,7
3,hum_1,loneliness,1,8
4,bot_2,teamwork,1,1
4,hum_2,forgiveness,1,2
4,bot_1,travel,0,3
4,hum_1,work_life,1,4
4,bot_1,communication,1,5
4,hum_2,technology,0,6
4,bot_2,seasons,0,7
4,hum_1,podcasts,0,8
5,bot_2,food,0,1
5,hum_1,social_media,1,2
5,bot_1,goals,1,3
5,hum_2,boundaries,1,4
5,bot_1,weather,0,5
5,bot_2,family,1,6
5,hum_2,gardening,0,7
5,hum_1,fashion,0,8
